Code,category_uz,category_ru,category_en,category_uz_cyrillic,date,value
2.227,Yelim,Клей,Glue,Елим,2024-10-01,100.0
2.228,Fenlar,Фены,Hair dryers,Фенлар,2024-10-01,100.0
2.229,"Ustara, soqol olish uchun lezviya","Бритвенные станки, лезвия для бритья","Razors, razor blades","Устара, соқол олиш учун лезвия",2024-10-01,100.29
2.23,Tish choʻtkalari,Зубные щетки,Toothbrushes,Тиш чўткалари,2024-10-01,100.18
2.231,Tish pastalari,Зубная паста,Toothpaste,Тиш пасталари,2024-10-01,100.04
2.232,Tualet qogʻozi,Туалетная бумага,Toilet paper,Туалет қоғози,2024-10-01,100.16
2.233,Soch uchun shampunlar,Шампуни для волос,Hair shampoos,Соч учун шампунлар,2024-10-01,100.63
2.234,Soch uchun boʻyoqlar,Краска для волос,Hair dye,Соч учун бўёқлар,2024-10-01,100.17
2.235,Atir sovun,Мыло туалетное,Toilet soap,Атир совун,2024-10-01,100.46
2.236,"Soqol olish uchun koʻpik, krem, gel","Пена, крем, гель для бритья","Foam, cream, shaving gel","Соқол олиш учун кўпик, крем, гель",2024-10-01,100.07
2.237,"Atir, pardoz suvi, odekolon","Духи, туалетная вода, одеколон","Perfume, eau de toilette, cologne","Атир, пардоз суви, одеколон",2024-10-01,100.01
2.238,Dezodorant,Дезодорант,Deodorant,Дезодорант,2024-10-01,100.2
2.239,Upa,Пудра,Powder,Упа,2024-10-01,100.0
2.24,Lab boʻyogʻi,Губная помада,Lipstick,Лаб бўёғи,2024-10-01,103.09
2.241,Bolalar uchun tagliklar,Детские подгузники,Children's diapers,Болалар учун тагликлар,2024-10-01,100.28
2.242,Qoʻl va yuz uchun kremlar,Крем для рук и лица,Hand and face cream,Қўл ва юз учун кремлар,2024-10-01,100.88
2.243,"Qoʻl soatlari, choʻntak soatlari va sekundomerlar","Наручные, карманные часы и  секундомеры","Wristwatches, pocket watches and stopwatches","Қўл соатлари, чўнтак соатлари ва секундомерлар",2024-10-01,100.0
2.244,Qimmatbaho metallardan yasalgan nikoh uzuklari,Обручальные кольца из драгоценных металлов,Wedding rings made of precious metals,Қимматбаҳо металлардан ясалган никоҳ узуклари,2024-10-01,103.31
2.245,Ayollar sumkalari,Сумка женская,Women's bag,Аёллар сумкалари,2024-10-01,100.0
2.246,"Oʻquvchilar sumkalari, jumladan portfellar, raneslar, ryukzaklar","Сумки школьные, включая портфели, ранцы, рюкзаки","School bags, including briefcases, satchels, backpacks","Ўқувчилар сумкалари, жумладан портфеллар, ранецлар, рюкзаклар",2024-10-01,100.16
2.247,Chemodanlar va yoʻl sumkalari,Чемоданы и дорожные сумки,Suitcases and travel bags,Чемоданлар ва йўл сумкалари,2024-10-01,100.0
2.248,Bolalar aravachalari,Коляска детская,Children's stroller,Болалар аравачалари,2024-10-01,101.53
2.249,Quyoshdan saqlaydigan koʻzoynaklar,Солнцезащитные очки,Sunglasses,Қуёшдан сақлайдиган кўзойнаклар,2024-10-01,100.0
2.25,Yomgʻirdan va quyoshdan saqlovchi soyabonlar,Зонты от дождя и солнца,Umbrellas from rain and sun,Ёмғирдан ва қуёшдан сақловчи соябонлар,2024-10-01,101.29
1.04,XIZMATLAR,УСЛУГИ,SERVICES,ХИЗМАТЛАР,2024-10-01,100.77
3.1,Kimyoviy tozalash xizmatlari,Химчистка,Dry cleaning,Кимёвий тозалаш хизматлари,2024-10-01,100.0
3.2,Kiyim tikish,Пошив одежды,Clothing tailoring,Кийим тикиш,2024-10-01,100.75
3.3,Kiyimlarni taʼmirlash,Ремонт одежды,Clothing repair,Кийимларни таъмирлаш,2024-10-01,100.0
3.4,Kiyimlarni ijaraga berish,Прокат одежды,Clothing rental,Кийимларни ижарага бериш,2024-10-01,100.77
3.5,Poyafzal taʼmirlash,Ремонт обуви,Shoe repair,Пояфзал таъмирлаш,2024-10-01,100.0
3.6,Kvartirani ijaraga olgan shaxslar tomonidan asosiy turar joy uchun toʻlanadigan amaldagi ijara xaqi,"Фактическая арендная плата, выплачиваемая квартиросъемщиками за основное место жительства",Actual rent paid by tenants for their primary residence,Квартирани ижарага олган шахслар томонидан асосий турар жой учун тўланадиган амалдаги ижара хақи,2024-10-01,106.13
3.7,Slesarlar va santexniklarning xizmatlari,"Услуги слесарей, сантехников","Mechanics, plumbers",Слесарлар ва сантехникларнинг хизматлари,2024-10-01,102.26
3.8,Elektriklarning xizmatlari,Услуги электриков,Electricians,Электрикларнинг хизматлари,2024-10-01,100.0
3.9,Boʻyash ishlari,Малярные работы,Painting,Бўяш ишлари,2024-10-01,101.19
3.1,Sovuq suv va kanalizatsiya uchun haq toʻlash,Холодное водоснабжение и канализация,Cold water supply and sewerage fee,Совуқ сув ва канализация учун ҳақ тўлаш,2024-10-01,100.0
3.11,Maishiy chiqindi uchun haq toʻlash,Плата за вывоз мусора,Garbage collection fee,Маиший чиқинди учун ҳақ тўлаш,2024-10-01,100.0
3.12,Koʻp xonadonli uylarda koʻrsatilgan xizmatlarga xaq toʻlash,Плата за обслуживание в многоквартирных домах,Service fee in apartment buildings,Кўп хонадонли уйларда кўрсатилган хизматларга хақ тўлаш,2024-10-01,100.0
3.13,Elektr energiyasi uchun haq toʻlash,Плата за электроэнергию,Electricity fee,Электр энергияси учун ҳақ тўлаш,2024-10-01,100.0
3.14,Tarmoq gaz uchun haq toʻlash,Плата за газ сетевой,Network gas fee,Тармоқ газ учун ҳақ тўлаш,2024-10-01,100.0
3.15,Suyultirilgan gaz uchun haq toʻlash,Плата за газ сжиженный,Liquefied gas fee,Суюлтирилган газ учун ҳақ тўлаш,2024-10-01,100.0
3.16,Issiq suv taʼminoti uchun xaq toʻlash,Оплата снабжения горячей водой,Hot water supply fee,Иссиқ сув таъминоти учун хақ тўлаш,2024-10-01,100.0
3.17,Markaziy isitish uchun haq toʻlash,Оплата центрального отопления,Central heating fee,Марказий иситиш учун ҳақ тўлаш,2024-10-01,100.0
3.18,"Mebellarni, uy-roʻzgʻor asboblarini va tukli gilamlarni taʼmirlash va oʻrnatish","Ремонт и установка мебели, предметов домашнего обихода и ворсовых ковров","Repair and installation of furniture, household items and pile carpets","Мебелларни, уй-рўзғор асбобларини ва тукли гиламларни таъмирлаш ва ўрнатиш",2024-10-01,100.0
3.19,Uy xoʻjaliklarida ishlatiladigan toʻqimachilik mahsulotlarini tikish boʻyicha xizmatlar,"Услуги по пошиву текстильных изделий, используемых в домашнем хозяйстве",Tailoring services for textiles used in the household,Уй хўжаликларида ишлатиладиган тўқимачилик маҳсулотларини тикиш бўйича хизматлар,2024-10-01,100.0
3.2,Maishiy priborlarni taʼmirlash va oʻrnatish,Ремонт и установка бытовых приборов,Repair and installation of household appliances,Маиший приборларни таъмирлаш ва ўрнатиш,2024-10-01,100.0
3.21,Maishiy priborlarni ijaraga berish,Прокат бытовых приборов,Home appliance rental,Маиший приборларни ижарага бериш,2024-10-01,102.31
3.22,Gilamlar va gilam mahsulotlarini yuvish va tozalash boʻyicha xizmatlar,Услуги по стирке и чистке ковров и ковровых изделий,Carpet and rug washing and cleaning services,Гиламлар ва гилам маҳсулотларини ювиш ва тозалаш бўйича хизматлар,2024-10-01,100.0
3.23,Dezinfeksiyalash va zararkunandalarni yoʻqotish boʻyicha xizmatlar,Услуги по дезинфекции и уничтожению вредителей,Disinfection and pest control services,Дезинфекциялаш ва зараркунандаларни йўқотиш бўйича хизматлар,2024-10-01,100.0
3.24,Immunizatsiya boʻyicha xizmatlar,Услуги по иммунизации,Immunization services,Иммунизация бўйича хизматлар,2024-10-01,100.0
3.25,Davolovchi massaj,Лечебный массаж,Massage therapy,Даволовчи массаж,2024-10-01,100.0
3.26,Stomatologik profilaktik xizmatlar,Стоматологические профилактические услуги,Dental preventive services,Стоматологик профилактик хизматлар,2024-10-01,101.22
3.27,Ambulatoriyada davolash va reabilitatsiya xizmatlari,Амбулаторные лечебные и реабилитационные услуги,Outpatient treatment and rehabilitation services,Амбулаторияда даволаш ва реабилитация хизматлари,2024-10-01,102.42
3.28,Statsionar davolash va reabilitatsiya xizmatlari,Стационарные лечебные и реабилитационные услуги,Inpatient treatment and rehabilitation services,Стационар даволаш ва реабилитация хизматлари,2024-10-01,100.0
3.29,Tibbiyot laboratoriyalari xizmatlari,Услуги медицинских лабораторий,Medical laboratory services,Тиббиёт лабораториялари хизматлари,2024-10-01,100.0
3.3,Diagnostika vizualizatsiyasi xizmatlari,Услуги по диагностической визуализации,Diagnostic imaging services,Диагностика визуализацияси хизматлари,2024-10-01,100.0
3.31,Shaxsiy transport vositalarini yuvish boʻyicha xizmatlar,Услуги по мойке личных транспортных средств,Personal vehicle wash services,Шахсий транспорт воситаларини ювиш бўйича хизматлар,2024-10-01,100.0
3.32,Shaxsiy transport vositalariga texnik xizmat koʻrsatish va taʼmirlash,Техническое обслуживание и ремонт личных транспортных средств,Personal vehicle maintenance and repair,Шахсий транспорт воситаларига техник хизмат кўрсатиш ва таъмирлаш,2024-10-01,100.0
3.33,Avtomobil toʻxtash joylari xizmatlari,Услуги по парковке,Parking services,Автомобил тўхташ жойлари хизматлари,2024-10-01,101.84
3.34,Haydovchilikka tayyorlash boʻyicha kurslar,Курсы по подготовке водителей,Driver training courses,Ҳайдовчиликка тайёрлаш бўйича курслар,2024-10-01,100.0
3.35,Shahar atrofidagi poyezdda yoʻl haqi,Пpоезд в пpигоpодном поезде,Commuter train travel,Шаҳар атрофидаги поездда йўл ҳақи,2024-10-01,100.0
3.36,Uzoq masofaga qatnaydigan poyezdda yoʻl haqi,Пpоезд в поезде дальнего следования,Travel by long-distance train,Узоқ масофага қатнайдиган поездда йўл ҳақи,2024-10-01,100.16
3.37,Metroda yoʻl haqi,Пpоезд в метро,Travel by metro,Метрода йўл ҳақи,2024-10-01,0.0
3.38,Tramvayda yoʻl haqi,Пpоезд в трамвай,Travel by tram,Трамвайда йўл ҳақи,2024-10-01,0.0
3.39,Shaharlararo avtobusda yoʻl haqi,Пpоезд в междугородном автобусе,Travel by intercity bus,Шаҳарлараро автобусда йўл ҳақи,2024-10-01,100.0
3.4,Shahar avtobusida yoʻl haqi,Пpоезд в гоpодском автобусе,Travel by city bus,Шаҳар автобусида йўл ҳақи,2024-10-01,100.0
3.41,Trolleybusda yoʻl haqi,Пpоезд в троллейбусе,Travel by trolleybus,Троллейбусда йўл ҳақи,2024-10-01,0.0
3.42,Yoʻnalishli taksida yoʻl haqi,Пpоезд в маршрутном такси,Travel by minibus,Йўналишли таксида йўл ҳақи,2024-10-01,100.0
3.43,Taksida yoʻl haqi,Пpоезд в такси,Travel by taxi,Таксида йўл ҳақи,2024-10-01,101.46
3.44,Ichki yoʻlovchi havo transporti,"Воздушный пассажирский транспорт, внутренний","Air passenger transport, domestic",Ички йўловчи ҳаво транспорти,2024-10-01,99.82
3.45,Xalqaro yoʻlovchi havo transporti,"Воздушный пассажирский транспорт, международный","Air passenger transport, international",Халқаро йўловчи ҳаво транспорти,2024-10-01,99.7
3.46,Kuryerlik xizmatlari va posilkalarni eltib berish boʻyicha xizmatlar,Курьерские услуги и услуги по доставке посылок,Courier services and parcel delivery services,Курьерлик хизматлари ва посилкаларни элтиб бериш бўйича хизматлар,2024-10-01,100.0
3.47,Tashish (koʻchish) va saqlash boʻyicha xizmatlar,Услуги по перевозке (переезду) и хранению,Transportation (moving) and storage services,Ташиш (кўчиш) ва сақлаш бўйича хизматлар,2024-10-01,100.0
3.48,Tayyor ovqatlarni yetkazib berish xizmati,Услуги по поставке готовой пищи,Services for the delivery of prepared food,Тайёр овқатларни етказиб бериш хизмати,2024-10-01,104.66
3.49,Mustahkam oʻrnatilgan (turgʻun) aloqa xizmatlari uchun telefon abonent toʻlovi,Телефонная абонентская плата за услуги фиксированной (стационарной) связи,Telephone subscription fee for fixed (stationary) communication services,Мустаҳкам ўрнатилган (турғун) алоқа хизматлари учун телефон абонент тўлови,2024-10-01,100.0
3.5,Mobil aloqa xizmatlari,Услуги мобильной связи,Mobile communication services,Мобил алоқа хизматлари,2024-10-01,103.2
3.51,Simli Internet uchun abonent toʻlovi,Абонентская плата за проводной Интеpнет,Subscription fee for wired Internet,Симли Интернет учун абонент тўлови,2024-10-01,100.0
3.52,Mobil Internet uchun abonent toʻlovi,Абонентская плата за мобильный Интернет,Subscription fee for mobile Internet,Мобил Интернет учун абонент тўлови,2024-10-01,100.0
3.53,Kompleks telekommunikatsiya xizmatlari,Комплексные телекоммуникационные услуги,Comprehensive telecommunication services,Комплекс телекоммуникация хизматлари,2024-10-01,100.0
3.54,Axborot va kommunikatsiya uskunalarini taʼmirlash,Ремонт информационного и коммуникационного оборудования,Repair of information and communication equipment,Ахборот ва коммуникация ускуналарини таъмирлаш,2024-10-01,108.58
3.55,Video-fotosurat xizmatlari,Видео-фото съемка,Video and photo shooting,Видео-фотосурат хизматлари,2024-10-01,100.0
3.56,Uy hayvonlari uchun veterinariya va boshqa xizmatlar,Ветеринарные и прочие услуги для домашних животных,Veterinary and other services for pets,Уй ҳайвонлари учун ветеринария ва бошқа хизматлар,2024-10-01,110.29
3.57,Madaniyat va istirohat bogʻlari xizmatlari,Услуги парков культуры и отдыха,Services of culture and recreation parks,Маданият ва истироҳат боғлари хизматлари,2024-10-01,104.66
3.58,Sport tadbirlarini tashkil etish boʻyicha xizmatlar,Услуги по организации спортивных мероприятий,Services for organizing sports events,Спорт тадбирларини ташкил этиш бўйича хизматлар,2024-10-01,100.0
3.59,Kinoteatrlarning xizmatlari,Услуги предоставляемые кинотеатрами,Services provided by cinemas,Кинотеатрларнинг хизматлари,2024-10-01,0.0
3.6,Teatrlarning xizmatlari,Услуги предоставляемые театрами,Services provided by theaters,Театрларнинг хизматлари,2024-10-01,0.0
3.61,Konsert zallarining xizmatlari,Услуги предоставляемые концертными залами,Services provided by concert halls,Концерт залларининг хизматлари,2024-10-01,0.0
3.62,Muzeylarning xizmatlari,Услуги предоставляемые музеями,Services provided by museums,Музейларнинг хизматлари,2024-10-01,100.0
3.63,Hayvonot bogʻlarining xizmatlari,Услуги предоставляемые зоопарками,Services provided by zoos,Ҳайвонот боғларининг хизматлари,2024-10-01,0.0
3.64,Fotografiya (suratga olish) sohasidagi xizmatlar,Услуги в области фотографии,Photography services,Фотография (суратга олиш) соҳасидаги хизматлар,2024-10-01,105.88
3.65,Toʻy va boshqa tadbirlarni oʻtkazish uchun joy ijarasiga haq toʻlash,Плата за аренду помещения для проведения свадеб и других мероприятий,Rental fee for premises for weddings and other events,Тўй ва бошқа тадбирларни ўтказиш учун жой ижарасига ҳақ тўлаш,2024-10-01,104.2
3.66,Taklifnomalar va otkritkalar chop etish xizmatlari,Услуги по печати пригласительных и открыток,Invitation and postcard printing services,Таклифномалар ва откриткалар чоп этиш хизматлари,2024-10-01,103.11
3.67,Turistik sayohat,Туристическая поездка,Tourist trip,Туристик саёҳат,2024-10-01,105.74
3.68,Davlat maktabgacha taʼlim tashkiloti,Государственная дошкольно- образаватильная организация,State preschool educational organization,Давлат мактабгача таълим ташкилоти,2024-10-01,100.0
3.69,Nodavlat (xususiy)  maktabgacha taʼlim tashkiloti,Негосударственная (частная) дошкольно- образаватильная организация,Non-state (private) preschool educational organization,Нодавлат (хусусий)  мактабгача таълим ташкилоти,2024-10-01,100.0
3.7,Shartnoma asosida davlat OTM larida oʻqish,Обучение в государственных вузах на контрактной основе,Education in state universities on a contract basis,Шартнома асосида давлат ОТМ ларида ўқиш,2024-10-01,100.0
3.71,Shartnoma asosida nodavlat OTM larida oʻqish,Обучение в негосударственных вузах на контрактной основе,Education in non-state universities on a contract basis,Шартнома асосида нодавлат ОТМ ларида ўқиш,2024-10-01,100.0
3.72,Repetitorlik,Репетиторство,Tutoring,Репетиторлик,2024-10-01,100.0
3.73,Chet tili kurslarida va shu kabi kurslarda mashgʻulot,Курсы иностранных языков и аналогичные курсы,Language courses and similar courses,Чет тили курсларида ва шу каби курсларда машғулот,2024-10-01,102.95
3.74,"Otellar, motellar, mehmonxonalar va shu kabi mehmonxona xizmatlari","Отели, мотели, гостиницы и аналогичное гостиничное обслуживание","Hotels, motels, inns and similar accommodation services","Отеллар, мотеллар, меҳмонхоналар ва шу каби меҳмонхона хизматлари",2024-10-01,103.62
3.75,"Dam olish markazlari, kempinglar, yoshlar yotoqxonalari va shu kabi mehmonxona xizmatlari","Центры отдыха, кемпинги, молодежные общежития и аналогичное гостиничное обслуживание","Holiday centres, campsites, youth hostels and similar accommodation services","Дам олиш марказлари, кемпинглар, ёшлар ётоқхоналари ва шу каби меҳмонхона хизматлари",2024-10-01,100.0
3.76,Shaxsiy transport vositalarini sugʻurtalash,Страхование личных транспортных средств,Personal vehicle insurance,Шахсий транспорт воситаларини суғурталаш,2024-10-01,100.0
3.77,Banklar kreditlarini sugʻurtalash,Страхование кредита в банках,Bank credit insurance,Банклар кредитларини суғурталаш,2024-10-01,100.0
3.78,Bank muassasalari xizmatlari,Услуги банковских учреждений,Banking services,Банк муассасалари хизматлари,2024-10-01,100.17
3.79,Pul oʻtkazmalari uchun xaq toʻlash,Плата за денежные переводы,Money transfer fees,Пул ўтказмалари учун хақ тўлаш,2024-10-01,100.48
3.8,Elektron toʻlov tizimlari orqali pul vositalarini oʻtkazish boʻyicha xizmatlar,Услуги по переводу денежных средств через электронных платёжных систем,Money transfer services via electronic payment systems,Электрон тўлов тизимлари орқали пул воситаларини ўтказиш бўйича хизматлар,2024-10-01,100.0
3.81,Mikromoliyaviy tashkilotlar va lombardlar tomonidan koʻrsatiladigan xizmatlar,Услуги микрофинансовых организаций и ломбардов,Microfinance organizations and pawnshop services,Микромолиявий ташкилотлар ва ломбардлар томонидан кўрсатиладиган хизматлар,2024-10-01,100.0
3.82,Ayollar va qizlar uchun sartaroshxona xizmatlari,Услуги парикмахерских для женщин и девочек,Hairdressing services for women and girls,Аёллар ва қизлар учун сартарошхона хизматлари,2024-10-01,100.0
3.83,Erkaklar va oʻgʻil bolalar uchun sartaroshxonalar xizmatlari,Услуги парикмахерских для мужчин и мальчиков,Hairdressing services for men and boys,Эркаклар ва ўғил болалар учун сартарошхоналар хизматлари,2024-10-01,101.41
3.84,Kosmetologlar xizmatlari,Услуги косметолога,Cosmetologist services,Косметологлар хизматлари,2024-10-01,103.37
3.85,Xammom va dushxonalar xizmatlari,Услуги бань и душевых,Bath and shower services,Хаммом ва душхоналар хизматлари,2024-10-01,100.0
3.86,Soatlarni taʼmirlash,Ремонт часов,Watch repair,Соатларни таъмирлаш,2024-10-01,100.0
3.87,Zargarlik xizmati,Услуги ювелиров,Jewelers services,Заргарлик хизмати,2024-10-01,100.0
3.88,Diniy xizmatlar,Ритуальные услуги,Funeral services,Диний хизматлар,2024-10-01,100.0
3.89,Huquqiy tusdagi xizmatlar,Услуги правового хаpактеpа,Legal services,Ҳуқуқий тусдаги хизматлар,2024-10-01,110.29
3.9,Xujjatlardan nusxa koʻchirish (kserokopiyalash) boʻyicha xizmatlar,Услуги по ксерокопированию документов,Document photocopying services,Хужжатлардан нусха кўчириш (ксерокопиялаш) бўйича хизматлар,2024-10-01,100.0
1.0,YIGʻMA INDEKS,СВОДНЫЙ ИНДЕКС,COMPOSITE INDEX,ЙИҒМА ИНДEКС,2024-11-01,100.85
1.02,OZIQ-OVQAT MAHSULOTLARI,ПРОДОВОЛЬСТВЕННЫЕ ПРОДУКТЫ,FOOD PRODUCTS,ОЗИҚ-ОВҚАТ МАҲСУЛОТЛАРИ,2024-11-01,100.95
1.1,Uzun boshoqli guruch,Рис длиннозерный,Long-grain rice,Узун бошоқли гуруч,2024-11-01,90.97
1.2,Yumaloq boshoqli guruch,Рис круглозерный,Round grain rice,Юмалоқ бошоқли гуруч,2024-11-01,94.5
1.3,Guruch oqshogʻi,Рисовая сечка,Chopped rice,Гуруч оқшоғи,2024-11-01,96.23
1.4,Manniy yormasi,Крупа манная,Semolina groats,Манний ёрмаси,2024-11-01,95.0
1.5,Grechixa (doni),Гречиха (зерно),Buckwheat (grain),Гречиха (дони),2024-11-01,96.16
1.6,Suli yormasi,Крупа овсяная,Oat groats,Сули ёрмаси,2024-11-01,96.4
1.7,Arpa yormasi,Перловка,Pearl barley,Арпа ёрмаси,2024-11-01,100.07
1.8,"Soʻk (yorma), jumladan briketlarda","Пшено (крупа), в том числе в брикетах","Millet (groats), including in briquettes","Сўк (ёрма), жумладан брикетларда",2024-11-01,100.38
1.9,Oliy navli bugʻdoy uni,Мука пшеничная высшего сорта,Premium wheat flour,Олий навли буғдой уни,2024-11-01,100.0
1.1,Birinchi navli bugʻdoy uni,Мука пшеничная первого сорта,First grade wheat flour,Биринчи навли буғдой уни,2024-11-01,95.61
1.11,Oliy navli bugʻdoy unidan tayyorlangan non,Хлеб пшеничный из муки высшего сорта,Wheat bread made from premium flour,Олий навли буғдой унидан тайёрланган нон,2024-11-01,101.3
1.12,Birinchi navli bugʻdoy unidan tayyorlangan non,Хлеб пшеничный из муки первого сорта,Wheat bread made from first grade flour,Биринчи навли буғдой унидан тайёрланган нон,2024-11-01,100.0
1.13,Obinon,Лепешки,Flatbreads,Обинон,2024-11-01,100.0
1.14,Javdar va javdar-bugʻdoy noni,Хлеб ржаной и ржано-пшеничный,Rye and rye-wheat bread,Жавдар ва жавдар-буғдой нони,2024-11-01,100.0
1.15,"Bulochka, bublik va boshqa yogʻli mahsulotlar","Булочки, бублики и другие сдобные изделия","Buns, bagels, and other pastry items","Булочка, бублик ва бошқа ёғли маҳсулотлар",2024-11-01,100.17
1.16,"Suxari (qoq non), qarsillama non, galeta","Сухари, хрустящие хлебцы, галеты","Rusks, crispbread, crackers","Сухари (қоқ нон), қарсиллама нон, галета",2024-11-01,100.5
1.17,Pechenye,Печенье,Cookies,Печене,2024-11-01,100.5
1.18,Vafli,Вафли,Wafers,Вафли,2024-11-01,102.3
1.19,Pryaniklar,Пряники,Gingerbread,Пряниклар,2024-11-01,103.0
1.2,Tortlar,Торты,Cakes,Тортлар,2024-11-01,100.31
1.21,Turli xil pirojniylar,Пирожные разных видов,Pastries of various types,Турли хил пирожнийлар,2024-11-01,100.92
1.22,Kekslar,Кексы,Cupcakes,Кекслар,2024-11-01,101.51
1.23,Korjiklar,Коржики,Biscuits,Коржиклар,2024-11-01,100.0
1.24,Chak chak,Чак чак,Chak-chak,Чак чак,2024-11-01,102.87
1.25,"Tayyor nonushtalar shaklidagi boshoqli donlar (""quruq nonushtalar"")","Зерна злаков в виде готовых завтраков (""сухие завтраки"")","Ready-to-eat cereal grains (""breakfast cereals"")","Тайёр нонушталар шаклидаги бошоқли донлар (""қуруқ нонушталар"")",2024-11-01,98.28
1.26,Vermishel,Вермишель,Vermicelli,Вермишел,2024-11-01,101.08
1.27,Ugra (shu jumladan lagʻmon uchun),Лапша (в том числе для лагмана),Noodles (including for lagman),Угра (шу жумладан лағмон учун),2024-11-01,100.35
1.28,"Makaronlar, spagetti","Макароны, спагетти","Pasta, spaghetti","Макаронлар, спагетти",2024-11-01,100.0
1.29,"Shakldor mahsulotlar (chigʻanoqlar, yulduzchalar va shu kabilar)","Фигурные изделия (ракушки, звездочки и аналогичные)","Shaped products (shells, stars and similar)","Шаклдор маҳсулотлар (чиғаноқлар, юлдузчалар ва шу кабилар)",2024-11-01,100.44
1.3,"Chuchvaralar va shu kabi mahsulotlar, xom","Пельмени и аналогичные изделия, сырые","Dumplings and similar products, raw","Чучваралар ва шу каби маҳсулотлар, хом",2024-11-01,100.0
1.31,Tez tayyorlanadigan ugra,Угра быстрого приготовления,Instant noodles,Тез тайёрланадиган угра,2024-11-01,100.61
1.32,Pop-korn,Поп-корн,Popcorn,Поп-корн,2024-11-01,100.0
1.33,Non-bulka mahsulotlarini tayyorlash uchun aralashmalar va xamir,Смеси и тесто для приготовления хлебобулочных изделий,Mixes and dough for bakery products,Нон-булка маҳсулотларини тайёрлаш учун аралашмалар ва хамир,2024-11-01,100.6
1.34,Mol goʻshti (suyaksiz goʻshtidan tashqari),Говядина (кроме бескостного мяса),Beef (except boneless meat),Мол гўшти (суяксиз гўштидан ташқари),2024-11-01,99.9
1.35,Suyaksiz mol goʻshti,Говядина бескостная,Boneless beef,Суяксиз мол гўшти,2024-11-01,99.78
1.36,Qoʻy goʻshti,Баранина,Mutton,Қўй гўшти,2024-11-01,101.16
1.37,Choʻchqa goʻshti,Свинина,Pork,Чўчқа гўшти,2024-11-01,100.0
1.38,Parranda goʻshti (sonlaridan tashqari),Мясо птицы (кроме окорочков),Poultry meat (except legs),Парранда гўшти (сонларидан ташқари),2024-11-01,100.83
1.39,"Tovuq boldiri, son qismlari","Голень куриная, окорочка",Chicken legs/drumsticks,"Товуқ болдири, сон қисмлари",2024-11-01,99.86
1.4,"Qiyma (yogʻli, yarim yogʻli)","Мясной фарш (жирный, полужирный)","Meat mince (fatty, semi-fatty)","Қийма (ёғли, ярим ёғли)",2024-11-01,100.0
1.41,"Yangi soʻyilgan, sovitilgan yoki muzlatilgan, quritilgan, tuzlangan, namakobga solingan  yoki dudlangan mol va qoʻy jigari","Печень говяжья, баранья, парная, охлажденная или мороженая, сушеная, соленая, в рассоле  или копченая","Beef/lamb liver (fresh, chilled or frozen, dried, salted, brined or smoked)","Янги сўйилган, совитилган ёки музлатилган, қуритилган, тузланган, намакобга солинган  ёки дудланган мол ва қўй жигари",2024-11-01,101.38
1.42,"Yangi soʻyilgan, sovitilgan yoki muzlatilgan, quritilgan, tuzlangan, namakobga solingan  yoki dudlangan mol oyoqlari","Ножки говяжьи, парные, охлажденные или мороженые, сушеные, соленые, в рассоле  или копченые","Beef feet (fresh, chilled or frozen, dried, salted, brined or smoked)","Янги сўйилган, совитилган ёки музлатилган, қуритилган, тузланган, намакобга солинган  ёки дудланган мол оёқлари",2024-11-01,101.48
1.43,"Yangi soʻyilgan, sovitilgan yoki muzlatilgan, quritilgan, tuzlangan, namakobga solingan  yoki dudlangan til","Язык, парной, охлажденный или мороженый, сушеный, соленый, в рассоле  или копченый","Tongue (fresh, chilled or frozen, dried, salted, brined or smoked)","Янги сўйилган, совитилган ёки музлатилган, қуритилган, тузланган, намакобга солинган  ёки дудланган тил",2024-11-01,100.0
1.44,Pishirilgan kolbasa,Колбаса вареная,Cooked sausage,Пиширилган колбаса,2024-11-01,100.49
1.45,"Sosiskalar, sardelkalar","Сосиски, сардельки","Sausages, frankfurters","Сосискалар, сарделкалар",2024-11-01,99.98
1.46,Dudlangan va yarim dudlangan kolbasa,Колбаса копченая и полукопченая,Smoked and semi-smoked sausage,Дудланган ва ярим дудланган колбаса,2024-11-01,100.57
1.47,Qazi,Казы,Kazi,Қази,2024-11-01,100.16
1.48,Konservalangan dimlangan mol goʻshti,Говядина тушеная консервированная,Canned stewed beef,Консерваланган димланган мол гўшти,2024-11-01,102.45
1.49,"Tirik, yangi, sovutilgan  baliq","Рыба, живая, свежая, охлажденная","Fish, live, fresh, chilled","Тирик, янги, совутилган  балиқ",2024-11-01,96.76
1.5,Muzlatilgan baliq,Рыба мороженая,Frozen fish,Музлатилган балиқ,2024-11-01,99.8
1.51,"Quritilgan, tuzlangan, namakobga solingan  yoki dudlangan baliq","Рыба, вяленая, соленая, в рассоле или копченая","Fish, dried, salted, in brine or smoked","Қуритилган, тузланган, намакобга солинган  ёки дудланган балиқ",2024-11-01,100.5
1.52,Moyga solingan sardinalar,Сардины в масле,Sardines in oil,Мойга солинган сардиналар,2024-11-01,99.55
1.53,Moyga solingan shprotlar,Шпроты в масле,Sprats in oil,Мойга солинган шпротлар,2024-11-01,100.41
1.54,Pomidor qaylasiga solingan kilka,Килька в томатном соусе,Sprat in tomato sauce,Помидор қайласига солинган килка,2024-11-01,102.1
1.55,Xom sut (yangi sogʻilgan),Молоко сырое (свежее),Raw milk (fresh),Хом сут (янги соғилган),2024-11-01,103.32
